image,image_path,breed,breed_en,confidence,model_ready,message,note
Chó Ridgeback Rhodesia.png,C:\Users\User\Downloads\Dog_Test\Chó Ridgeback Rhodesia.png,Chó Ridgeback Rhodesia,Rhodesian Ridgeback,0.995526,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Ridgeback Rhodesia.
Chó Rottweiler.png,C:\Users\User\Downloads\Dog_Test\Chó Rottweiler.png,Chó Rottweiler,Rottweiler,0.987381,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Rottweiler.
Chó Saint Bernard.png,C:\Users\User\Downloads\Dog_Test\Chó Saint Bernard.png,Chó Saint Bernard,Saint Bernard,0.984486,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Saint Bernard.
Chó Saluki.png,C:\Users\User\Downloads\Dog_Test\Chó Saluki.png,Chó Saluki,Saluki,0.915094,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Saluki.
Chó Samoyed.png,C:\Users\User\Downloads\Dog_Test\Chó Samoyed.png,Chó Samoyed,Samoyed,0.935425,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Samoyed.
Chó Schipperke.png,C:\Users\User\Downloads\Dog_Test\Chó Schipperke.png,Chó Schipperke,Schipperke,0.786594,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Schipperke.
Chó Schnauzer Giant (2).png,C:\Users\User\Downloads\Dog_Test\Chó Schnauzer Giant (2).png,Chó Schnauzer Giant,Giant Schnauzer,0.967990,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Schnauzer Giant.
Chó Schnauzer Giant.png,C:\Users\User\Downloads\Dog_Test\Chó Schnauzer Giant.png,Chó Schnauzer Giant,Giant Schnauzer,0.949977,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Schnauzer Giant.
Chó Schnauzer Mini.png,C:\Users\User\Downloads\Dog_Test\Chó Schnauzer Mini.png,Chó Schnauzer Mini,Miniature Schnauzer,0.962089,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Schnauzer Mini.
Chó Schnauzer Standard.jpg,C:\Users\User\Downloads\Dog_Test\Chó Schnauzer Standard.jpg,Chó Schnauzer Standard,Standard Schnauzer,0.814502,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Schnauzer Standard.
Chó Scottie.png,C:\Users\User\Downloads\Dog_Test\Chó Scottie.png,Chó Scottie,Scotch Terrier,0.989652,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Scottie.
Chó Sealyham Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Sealyham Terrier.png,Chó Sealyham Terrier,Sealyham Terrier,0.821332,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Sealyham Terrier.
Chó Setter Anh.png,C:\Users\User\Downloads\Dog_Test\Chó Setter Anh.png,Chó Setter Anh,English Setter,0.941522,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Setter Anh.
Chó Sheltie.png,C:\Users\User\Downloads\Dog_Test\Chó Sheltie.png,Chó Sheltie,Shetland Sheepdog,0.893427,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Sheltie.
Chó Shiba.png,C:\Users\User\Downloads\Dog_Test\Chó Shiba.png,Chó Shiba,Shiba Dog,0.860504,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Shiba.
Chó Shih Tzu.png,C:\Users\User\Downloads\Dog_Test\Chó Shih Tzu.png,Chó Shih Tzu,Shih Tzu,0.906599,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Shih Tzu.
Chó Silky Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Silky Terrier.png,Chó Silky Terrier,Silky Terrier,0.845306,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Silky Terrier.
Chó Springer Anh.png,C:\Users\User\Downloads\Dog_Test\Chó Springer Anh.png,Chó Springer Anh,English Springer,0.988272,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Springer Anh.
Chó Staffordshire Bull Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Staffordshire Bull Terrier.png,Chó Staffordshire Bull Terrier,Staffordshire Bullterrier,0.861654,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Staffordshire Bull Terrier.
Chó Sussex Spaniel.png,C:\Users\User\Downloads\Dog_Test\Chó Sussex Spaniel.png,Chó Sussex Spaniel,Sussex Spaniel,0.969521,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Sussex Spaniel.
Chó ta Việt Nam.jpg,C:\Users\User\Downloads\Dog_Test\Chó ta Việt Nam.jpg,Nghi lai: Chó ta Việt Nam x Chó Dingo,Crossbreed: Vietnamese Native Dog x Dingo,0.914977,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Toy Terrier.jpg,C:\Users\User\Downloads\Dog_Test\Chó Toy Terrier.jpg,Nghi lai: Chó Toy Terrier x Phốc hươu,Crossbreed: Toy Terrier x Miniature Pinscher,0.791882,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Vizsla.png,C:\Users\User\Downloads\Dog_Test\Chó Vizsla.png,Chó Vizsla,Vizsla,0.991742,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Vizsla.
Chó Weimaraner.png,C:\Users\User\Downloads\Dog_Test\Chó Weimaraner.png,Chó Weimaraner,Weimaraner,0.991397,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Weimaraner.
Chó Westie.png,C:\Users\User\Downloads\Dog_Test\Chó Westie.png,Chó Westie,West Highland White Terrier,0.956177,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Westie.
Chó Wheaten Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Wheaten Terrier.png,Chó Wheaten Terrier,Soft Coated Wheaten Terrier,0.947097,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Wheaten Terrier.
Chó Whippet.png,C:\Users\User\Downloads\Dog_Test\Chó Whippet.png,Chó Whippet,Whippet,0.978985,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Whippet.
Chó Wire Fox Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Wire Fox Terrier.png,Chó Wire Fox Terrier,Wire Haired Fox Terrier,0.963491,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Wire Fox Terrier.
Chó Yorkshire Terrier (2).png,C:\Users\User\Downloads\Dog_Test\Chó Yorkshire Terrier (2).png,Chó Yorkshire Terrier,Yorkshire Terrier,0.919278,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Yorkshire Terrier.
Chó Yorkshire Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Yorkshire Terrier.png,Chó Yorkshire Terrier,Yorkshire Terrier,0.961153,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Yorkshire Terrier.
Foxhound Anh.jpg,C:\Users\User\Downloads\Dog_Test\Foxhound Anh.jpg,Chó Foxhound Anh,English Foxhound,0.990309,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Foxhound Anh.
Golden Retriever.jpg,C:\Users\User\Downloads\Dog_Test\Golden Retriever.jpg,Chó Golden,Golden Retriever,0.945676,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Golden.
Greyhound Ý.png,C:\Users\User\Downloads\Dog_Test\Greyhound Ý.png,Greyhound Ý,Italian Greyhound,0.838068,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Greyhound Ý.
Irish Water Spaniel.png,C:\Users\User\Downloads\Dog_Test\Irish Water Spaniel.png,Chó Irish Water Spaniel,Irish Water Spaniel,0.939580,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Irish Water Spaniel.
Keeshond.jpg,C:\Users\User\Downloads\Dog_Test\Keeshond.jpg,Chó Keeshond,Keeshond,0.954778,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Keeshond.
Komondor.jpg,C:\Users\User\Downloads\Dog_Test\Komondor.jpg,Chó Komondor,Komondor,0.973418,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Komondor.
Kuvasz.jpg,C:\Users\User\Downloads\Dog_Test\Kuvasz.jpg,Chó Kuvasz,Kuvasz,0.771080,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Kuvasz.
Labrador Retriever.jpg,C:\Users\User\Downloads\Dog_Test\Labrador Retriever.jpg,Chó Labrador,Labrador Retriever,0.927388,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Labrador.
Leonberger.jpg,C:\Users\User\Downloads\Dog_Test\Leonberger.jpg,Chó Leonberger,Leonberg,0.924494,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Leonberger.
Ngao Tây Tạng.png,C:\Users\User\Downloads\Dog_Test\Ngao Tây Tạng.png,Ngao Tây Tạng,Tibetan Mastiff,0.990453,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Ngao Tây Tạng.
Ngao Đức.png,C:\Users\User\Downloads\Dog_Test\Ngao Đức.png,Ngao Đức,Great Dane,0.988792,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Ngao Đức.
Phốc hươu.png,C:\Users\User\Downloads\Dog_Test\Phốc hươu.png,Phốc hươu,Miniature Pinscher,0.976934,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Phốc hươu.
Phốc sóc.jpg,C:\Users\User\Downloads\Dog_Test\Phốc sóc.jpg,Phốc sóc,Pomeranian,0.978781,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Phốc sóc.
Pointer Đức.png,C:\Users\User\Downloads\Dog_Test\Pointer Đức.png,Pointer Đức,German Short Haired Pointer,0.943944,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Pointer Đức.
Pug.png,C:\Users\User\Downloads\Dog_Test\Pug.png,Chó Pug,Pug,0.969243,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Pug.
Shepherd Úc.png,C:\Users\User\Downloads\Dog_Test\Shepherd Úc.png,Shepherd Úc,Australian Shepherd,0.999727,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Shepherd Úc.
Shiba Inu.jpg,C:\Users\User\Downloads\Dog_Test\Shiba Inu.jpg,Chó Shiba,Shiba Dog,0.858324,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Shiba.
Spitz Nhật.jpg,C:\Users\User\Downloads\Dog_Test\Spitz Nhật.jpg,Spitz Nhật,Japanese Spitz,0.969428,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Spitz Nhật.
Spitz Nhật.png,C:\Users\User\Downloads\Dog_Test\Spitz Nhật.png,Spitz Nhật,Japanese Spitz,0.827788,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Spitz Nhật.
Springer xứ Wales.png,C:\Users\User\Downloads\Dog_Test\Springer xứ Wales.png,Springer xứ Wales,Welsh Springer Spaniel,0.923653,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Springer xứ Wales.
Terrier Tây Tạng.png,C:\Users\User\Downloads\Dog_Test\Terrier Tây Tạng.png,Terrier Tây Tạng,Tibetan Terrier,0.976178,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Terrier Tây Tạng.
Terrier Úc.png,C:\Users\User\Downloads\Dog_Test\Terrier Úc.png,Terrier Úc,Australian Terrier,0.972780,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Terrier Úc.
Treeing Walker Coonhound.jpg,C:\Users\User\Downloads\Dog_Test\Treeing Walker Coonhound.jpg,Nghi lai: Chó Treeing Walker Coonhound x Chó Foxhound Anh,Crossbreed: Walker Hound x English Foxhound,0.768526,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
