image,image_path,breed,breed_en,confidence,model_ready,message,note
Sussex Spaniel × English Springer.png,C:\Users\User\Downloads\Mixed_Breed\Sussex Spaniel × English Springer.png,Chó Springer Anh,English Springer,0.953880,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Springer Anh.
Tibetan Mastiff × Great Pyrenees.png,C:\Users\User\Downloads\Mixed_Breed\Tibetan Mastiff × Great Pyrenees.png,Nghi lai: Ngao Tây Tạng x Shepherd Úc,Crossbreed: Tibetan Mastiff x Australian Shepherd,0.490119,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Tibetan Mastiff × Saint Bernard.png,C:\Users\User\Downloads\Mixed_Breed\Tibetan Mastiff × Saint Bernard.png,Nghi lai: Ngao Tây Tạng x Shepherd Úc,Crossbreed: Tibetan Mastiff x Australian Shepherd,0.491926,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Tibetan Terrier × Shih Tzu.png,C:\Users\User\Downloads\Mixed_Breed\Tibetan Terrier × Shih Tzu.png,Nghi lai: Chó Silky Terrier x Terrier Tây Tạng,Crossbreed: Silky Terrier x Tibetan Terrier,0.570436,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Tibetan Terrier × Soft Coated Wheaten Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Tibetan Terrier × Soft Coated Wheaten Terrier.png,Nghi lai: Terrier Tây Tạng x Chó Silky Terrier,Crossbreed: Tibetan Terrier x Silky Terrier,0.743764,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Vizsla × Golden Retriever.png,C:\Users\User\Downloads\Mixed_Breed\Vizsla × Golden Retriever.png,Chó Golden,Golden Retriever,0.771681,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Golden.
Vizsla × Weimaraner.png,C:\Users\User\Downloads\Mixed_Breed\Vizsla × Weimaraner.png,Nghi lai: Chó Weimaraner x Chó Vizsla,Crossbreed: Weimaraner x Vizsla,0.598296,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Whippet × Italian Greyhound.png,C:\Users\User\Downloads\Mixed_Breed\Whippet × Italian Greyhound.png,Nghi lai: Chó Whippet x Greyhound Ý,Crossbreed: Whippet x Italian Greyhound,0.867459,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Wire Haired Fox Terrier × Airedale Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Wire Haired Fox Terrier × Airedale Terrier.png,Nghi lai: Chó Wire Fox Terrier x Chó Airedale Terrier,Crossbreed: Wire Haired Fox Terrier x Airedale,0.577894,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Yorkshire Terrier × Maltese.png,C:\Users\User\Downloads\Mixed_Breed\Yorkshire Terrier × Maltese.png,Nghi lai: Chó Yorkshire Terrier x Chó Norfolk Terrier,Crossbreed: Yorkshire Terrier x Norfolk Terrier,0.455220,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
